龙江联通,rtp://239.3.1.133:8016
湖南金鹰纪实,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN4766929BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUaWf4k%2B88FALXqp3i7ExZ4HArfvJF2pWpm4RxcBNhZ7j8oKdkoj6hFDX2k81AyJk8L2ZgQL4lTNsyfhwMVyjNWA
央视台球,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380775932cff/1.m3u8?m3u8_level=2
天津卫视,http://219.145.43.230:10000/rtp/239.112.205.74:5140$LR•IPV4『线路159』
CETV-4,http://223.99.189.25:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000070/index.m3u8
昆明新闻综合,http://wshls.live.migucloud.com/live/01YCQY7M_C0/playlist.m3u8
天津卫视,http://120.76.248.139/live/otvgd/28.m3u8?bt=2300$LR•IPV4『线路86』
CCTV15,http://1.24.190.98:10080/hls/15/index.m3u8$LR•IPV4『线路87』
CCTV5+,http://120.41.124.228:8888/rtp/239.61.2.171:9014$LR•IPV4『线路41』
浙江卫视,http://39.172.91.235:2082/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路96』
唐山音乐广播,https://fanmingming.com/fm?id=2132
CCTV14,http://113.93.49.88:2000/udp/239.77.1.161:5146
百变星君,https://free-adsmind.ugdtimg.com/0bc3oyacmaaasyabk6b56frva5wdez3aajqa.f10004.mp4
吉林卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226397/index.m3u8$LR•IPV6『线路31』
辽宁卫视,http://58.248.112.203:8006/GD_CUCC/G_LIAONING-CQ.m3u8?Authinfo=F8UQ%2BEevMmd%2FnekE5YOOKkRqeVO49Tnq6K%2BWCd0TWOv%2FGe21maMcczv29zbhzU5i$LR•IPV4『线路77』
江苏卫视,http://www.furymax.top:85/rtp/239.69.1.174:10680$LR•IPV4『线路175』
山东卫视,http://171.108.239.79:8181/tsfile/live/1083_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路69』
东方影视,http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001016/index.m3u8
青海卫视,https://histar.zapi.us.kg/?id=qinghai
东南卫视,http://117.27.190.42:9998/tsfile/live/23281_1.m3u8$LR•IPV4『线路144』
万州三峡移民频道,http://123.146.162.24:8017/c2F0hmi/1000/live.m3u8
哈利波特全集,https://www.goodiptv.club/yy/1382745105
CCTV2,http://223.72.19.116:4022/rtp/239.3.1.60:8084$LR•IPV4『线路69』
湖北卫视,http://140.224.147.123:9999/rtp/239.61.2.120:8714$LR•IPV4『线路153』
935爱旅游,https://fanmingming.com/fm?id=2543
金鹰卡通,rtsp://115.153.254.81/PLTV/88888888/224/3221226972/80382319.smil$LR•IPV4『线路49』
云南卫视,http://120.41.124.228:8888/rtp/239.61.2.61:8360$LR•IPV4『线路61』
湖南国际,http://175.11.170.29:4022/udp/239.76.245.124:1234
CCTV5,http://www.zzlag.top:9087/tsfile/live/1020_1.m3u8?key=txiptv$LR•IPV4『线路180』
CCTV8,http://loc.sportsontheweb.net/yfy.php?id=cctv8
北京卫视,http://[2409:8087:5e01:34::38]:6610/ZTE_CMS/00000001000000060000000000000173/index.m3u8?$LR•IPV6『线路36』
NewTV军旅剧场,http://39.134.66.66/PLTV/88888888/224/3221225560/index.m3u8
湖北卫视,http://202.102.201.244:40022/rtp/238.1.78.168:7216$LR•IPV4『线路140』
湖北卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226477/index.m3u8$LR•IPV4『线路69』
广东珠江经济台,https://fanmingming.com/fm?id=493
四川卫视,http://61.136.67.238:50085/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路135』
岷县电视台,http://117.156.28.119/270000001111/1110000130/index.m3u8
河北卫视,http://mdxgh.tpddns.cn:88/mdxgh/hebei$LR•IPV4『线路82』
北京卫视,http://alvin.ergotron.net:8000/udp/239.77.1.4:5146$LR•IPV4『线路102』
辽宁卫视,http://116.116.119.83:9999/udp/239.125.2.72:4120$LR•IPV4『线路121』
辽宁卫视,https://z02.ubtvfans.com/live/rx1/229/d82f9e1c481058d83aa4077519fe70c7/index.m3u8
陕西卫视,https://histar.zapi.us.kg/?id=shaanxi
CGTN,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63806f4f64099/index.m3u8?m3u8_level=2
深圳卫视,http://58.41.27.144:18888/udp/239.45.3.231:5140$LR•IPV4『线路146』
江苏卫视,http://14.212.185.27:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://27.11.53.41:8004/udp/225.0.4.80:7980$LR•IPV4『线路68』
贵州卫视,http://124.128.73.58:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,https://histar.zapi.us.kg/?id=yunnan
山西影视,http://live.cooltv.top/tv/cutv.php?id=sxys
青海卫视,http://58.23.26.184:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://27.40.16.70:8114/GD_CUCC/G_CHONGQING-CQ.m3u8?Provider_id=&Pcontent_id=&FvSeid=ace
新疆卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225550/iptv61197.smil$LR•IPV4『线路62』
湖北卫视,http://219.147.200.9:18080/newlive/live/hls/42/live.m3u8
CCTV5,http://223.159.10.33:8099/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8$LR•IPV6『线路7』
CCTV6,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8$LR•IPV6『线路15』
没完没了,https://vip.ffzy-play6.com/20221129/9376_7f06747a/index.m3u8
BBC World News,mitv://generationnexxxt.com:19806/ecc7214268ee448ab42b65d9f2e2663a
天津卫视,http://61.136.67.238:50085/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
广东综艺,http://113.65.233.218:2888/rtp/239.77.0.245:5146$LR•IPV4『线路5』
黑龙江卫视,http://113.206.114.34:8005/udp/225.0.4.201:7980$LR•IPV4『线路124』
北京卫视,http://113.240.177.80:8082/hls/23/index.m3u8$LR•IPV4『线路191』
临沂私家车广播,https://fanmingming.com/fm?id=997
湖北卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225627/index.m3u8$LR•IPV4『线路70』
Rakuten Action,https://rakuten-actionmovies-1-gb.xiaomi.wurl.tv/playlist.m3u8
重庆卫视,http://36.40.236.55:9999/tsfile/live/0132_6.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路85』
2000年,https://alimov2.a.kwimgs.com/upic/2023/01/13/21/BMjAyMzAxMTMyMTE4MzRfNDAzMDAxOTlfOTM1MDY4ODIxMTNfMF8z_b_Bdddf4e7ef0ff6cfd477857bb40e78419.mp4
广东卫视,http://www.8700956.top:18888/udp/239.81.0.36:4056
凤凰香港,http://120.79.160.134:8066/HK/fhxg/hls.m3u8
野性美洲3,https://hls.cntv.kcdnvip.com/asp/hls/1200/0303000a/3/default/1156d95bcf554d0e9df1688e8a6fd55d/1200.m3u8
广东珠江,http://gmxw.7766.org:808/hls/83/index.m3u8$LR•IPV4『线路16』
淳安电视台,https://wtmtylive.yunshicloud.com/tbziu1/ad592j.m3u8?zzhed
黑河电台,https://fanmingming.com/fm?id=833
雪豹,http://live.iill.top/huya.php?id=29920656
都江堰英英,http://gcalic.v.myalicdn.com/gc/xiongmao16_1/index.m3u8
南方卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8$LR•IPV4『线路5』
辽宁卫视,http://219.159.147.195:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路182』
山东卫视,http://36.40.236.55:9999/tsfile/live/0143_2.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路92』
北京卫视,http://171.8.75.67:8011/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
萍乡电台综合广播,https://fanmingming.com/fm?id=2003
海南卫视,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227139/index.m3u8
NewTV_超级电影,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
东南卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221226677/51176347.smil$LR•IPV4『线路160』
CCTV6,http://223.10.39.92:8083/udp/239.1.1.13:8013$LR•IPV4『线路157』
CCTV10,http://223.10.39.92:8083/udp/239.1.1.17:8017$LR•IPV4『线路159』
CCTV14,http://123.189.36.4:9901/tsfile/live/1163_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://123.189.36.4:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路26』
黑莓动画,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
东方卫视,http://119.62.36.174:9901/tsfile/live/0135_2.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路76』
湖北卫视,http://36.248.137.69:60033/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路184』
1991年,https://txmov2.a.kwimgs.com/bs3/video-hls/5210664837540712798_hlshd15.m3u8
湖南国际,http://223.159.10.33:8099/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://171.108.239.99:8181/tsfile/live/1060_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路72』
北京卫视,http://14.121.146.11:30001/udp/239.77.0.91:5146
CCTV4,http://118.249.23.89:9999/udp/239.76.246.95:1234$LR•IPV4『线路117』
松原新闻综合广播,https://fanmingming.com/fm?id=1802
解说_乌贼说电影,http://cfss.cc/cdn/hy/16604522.flv
CCTV6,http://14.19.198.125:9876/udp/239.77.0.171:5146$LR•IPV4『线路85』
CCTV8,http://171.108.239.99:8181/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路39』
991新乡综合广播,https://fanmingming.com/fm?id=1517
CCTV15,http://221.14.197.184:4022/rtp/225.1.4.216:1269$LR•IPV4『线路21』
上海新闻,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000002000000005/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000005&IASHttpSessionId=OTT19019320240419154124000281
CCTV15,http://59.34.139.129:4000/udp/239.77.1.239:5146
西安丝路 (404p) [Not 24/7],http://stream2.xiancity.cn/xatv5/playlist.m3u8
新歌上线,https://vd4.bdstatic.com/mda-nc005jwr87jrdssh/sc/cae_h264_delogo/1646179767551234681/mda-nc005jwr87jrdssh.mp4
中国交通,http://39.134.144.6:8089/PLTV/88888888/224/3221226295/index.m3u8
CCTV5,http://116.116.119.83:9999/udp/239.125.2.54:4120$LR•IPV4『线路135』
CCTV10,http://171.221.34.38:4022/udp/239.93.1.28:5140$LR•IPV4『线路84』
日照综合广播,https://fanmingming.com/fm?id=1907
CCTV-央视台球,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002496/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
精选dj,https://vd3.bdstatic.com/mda-mm68drt808w1nins/720p/h264/1638861890075163680/mda-mm68drt808w1nins.mp4
河北卫视,http://home.huaz.site:4000/udp/239.21.1.168:5002$LR•IPV4『线路87』
江苏卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010059/1.m3u8?$LR•IPV6『线路41』
CCTV15,http://61.140.235.39:4000/udp/239.77.1.239:5146
梨园频道,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380788ba7bed/index.m3u8?AuthInfo=toEYVdLfxymUP2l9NZpQI5%2BK6T7j%2FlRm%2BvbM9VO7bA0q1S1k1f36SqqriM0FZoFSAJRfCt8SS7X6sTRmXb81a8O4H%2FdroDKjLoDeaMQdyJQ
泗洪新闻综合频道,http://sihong-tv-hls.cm.jstv.com/sihong-tv/sihongxinwenzonghe.m3u8
&Flix,http://89.187.177.137:8081/&FLIX/index.m3u8
SiTV动漫秀场 [Not 24/7],http://112.25.48.68/live/program/live/dmxchd/4000000/mnf.m3u8
广西卫视,http://171.108.239.79:8181/tsfile/live/1058_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路34』
三沙卫视,http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/sswshd8m/8000000/mnf.m3u8
山西卫视,http://ucdn-zte.sd.chinamobile.com:8089/shandong_cabletv.live.zte.com////CHANNEL00000032/index.m3u8
CCTV9,http://58.216.99.148:80/live2.rxip.sc96655.com/live/CCTV-9H265_4000.m3u8
电影_梁家辉,http://cfss.cc/cdn/hy/11342429.flv
昆明经济生活,http://wshls.live.migucloud.com/live/JT9JEQ54_C0_2/playlist.m3u8?zyund
北京卫视,http://113.206.157.95:8001/udp/225.0.4.78:7980$LR•IPV4『线路59』
湖南卫视,http://58.215.231.9/live2.rxip.sc96655.com/live/hnwsH265_4000.m3u8$LR•IPV4『线路79』
CCTV17,http://113.206.114.34:8005/udp/225.0.4.179:7980$LR•IPV4『线路74』
西藏都市生活广播,https://fanmingming.com/fm?id=2243
CCTV13,http://125.78.13.118:4022/rtp/239.61.2.23:8132$LR•IPV4『线路97』
宁夏卫视,http://171.8.75.67:8011/tsfile/live/0112_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,https://epg.pw/stream/e64ded084c3147592f7f8a72ff9c597ff8277c6c45d9854d8b8a0a01bc053c21.m3u8
CCTV5,http://120.234.5.29:6000/udp/239.20.0.30:3284$LR•IPV4『线路106』
欢笑剧场,http://171.217.146.243:4022/rtp/239.93.0.145:5140
CCTV8,http://123.138.216.44:9902/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
佛山影视,http://222.217.243.197:8181/tsfile/live/0139_1.m3u8
乌海交通音乐广播,https://fanmingming.com/fm?id=1814
山东公共,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000314/index.m3u8
江苏卫视,http://120.76.248.139/live/otvgd/18.m3u8?bt=2300$LR•IPV4『线路91』
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=a5a3a04e1720508811$LR•IPV4『线路82』
东方卫视,http://60.27.20.217:4022/udp/225.1.2.31:5002$LR•IPV4『线路119』
贵州卫视,http://60.27.20.217:4022/udp/225.1.2.28:5002$LR•IPV4『线路108』
CCTV1,http://117.175.185.226:4088/rtp/239.11.0.65:5140$LR•IPV4『线路92』
新疆卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000316/index.m3u8?IAS$LR•IPV6『线路2』
山东农科 (406p) [Geo-blocked],http://livealone302.iqilu.com/iqilu/nkpd.m3u8
江西卫视,http://223.159.10.33:8099/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
沸点100-MIX,https://fanmingming.com/fm?id=1318
浙江卫视,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8$LR•IPV6『线路9』
江西卫视,http://58.248.112.203:8006/GD_CUCC/G_JIANGXI-CQ.m3u8?Authinfo=F8UQ%2BEevMmd%2FnekE5YOOKiFtNLUdun4aiq6hb34UOKdnmvR2PbgsfQI1rMAHU0ky$LR•IPV4『线路65』
新郑综合 [Not 24/7],http://live.dxhmt.cn:9081/tv/10184-1.m3u8
金鹰卡通,http://171.121.148.213:8100/rtp/226.0.2.172:9288$LR•IPV4『线路9』
「B站」英雄联盟手游,http://live.iill.top/bilibili.php?id=23138275
晋中新闻,http://jzlive.jztvnews.com:83/live/mount_for_ts/jzzh.m3u8?zshanxd
CCTV2,http://27.11.53.41:8003/udp/225.0.4.132:7980$LR•IPV4『线路38』
山东卫视,http://58.51.111.46:1111/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路98』
CCTV11,http://14.121.146.11:30001/udp/239.77.1.238:5146$LR•IPV4『线路86』
北京卫视,P2p://generationnexxxt.com:19806/8d7d0547db754c32bca6011693893b40$LR•IPV4『线路156』
CCTV8,http://117.175.185.226:4088/rtp/239.11.0.103:5140$LR•IPV4『线路67』
宁夏经济,https://hls.ningxiahuangheyun.com/live/nxjj1M.m3u8
贵州卫视,http://113.93.49.146:2000/udp/239.77.0.230:5146
CCTV12,http://223.112.219.174:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
山东生活 [Geo-blocked],http://livealone302.iqilu.com/iqilu/shpd.m3u8
阅读之声,https://fanmingming.com/fm?id=652
至尊无上II之永霸天下,https://vip.ffzy-play.com/20221015/1090_e30609f3/index.m3u8
江苏,http://123.189.36.39:9901/tsfile/live/1140_1.m3u8?key=txiptv&playlive=1&authid=0
梦的翅膀受了伤DJ,https://vd3.bdstatic.com/mda-nc9a5ezg6q94csiv/360p/h264_delogo/1646896337041155631/mda-nc9a5ezg6q94csiv.mp4
东方卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010054/1.m3u8$LR•IPV6『线路7』
CCTV12,http://36.248.137.69:60033/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路149』
CCTV13,http://219.159.194.233:8181/tsfile/live/0013_1.m3u8$LR•IPV4『线路112』
凤凰中文,http://e58d3b.tv.netsite.cc/proxy/1846789161/1846789161.m3u8
咪咕体育,http://39.134.66.66/PLTV/88888888/224/3221225648/index.m3u8
北京卡酷少儿,http://39.134.144.6:8089/PLTV/88888888/224/3221225880/index.m3u8
CCTV3,http://219.159.194.233:8181/tsfile/live/0003_1.m3u8$LR•IPV4『线路141』
新昌休闲影视,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
黑龙江卫视,http://223.151.51.74:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://171.108.239.98:8181/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路21』
安徽卫视,http://27.11.53.41:8004/udp/225.0.4.133:7980$LR•IPV4『线路57』
传奇母狮,https://hls.cntv.kcdnvip.com/asp/hls/1200/0303000a/3/default/c550dc54139b4e619e7d4a1c1ab69e56/1200.m3u8
CCTV8K,http://159.75.85.63:8654/xx8k50fps.php
长沙政法频道,http://phonews.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy43MS43MC4xMDMmcWlkPSZzPTFhNDE2NGEzYzQ2ZDZiMWY2NjY3MzE0ZmFjODAwODM2JmVzPTE3MjA1MTc2MTAmdXVpZD04ZWYwODkyMzc3ZmFmNTRjYTVjMWE3OGUxY2NkYTIwZi02NzQ3NDY2NyZ2PTImYXM9MCZjZG5leF9pZD13c19waG9uZTM,/CSZFMPP360.m3u8
广东卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226248/index.m3u8$LR•IPV6『线路39』
广州电视台新闻频道,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=a4f3c929fc51bf19b59826b76abceba5&txTime=19095f884a5
CCTV3,http://webmail.axxe.top:4022/rtp/239.3.1.172:8001$LR•IPV4『线路67』
深圳卫视,http://120.234.5.29:6000/udp/239.20.0.122:2042$LR•IPV4『线路97』
宁夏卫视,http://nas.hssvm.com:8888/udp/225.1.1.56:5002$LR•IPV4『线路50』
三沙卫视,http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/sswshd8m/8000000/mnf.m3u8
西藏卫视,https://tv.vtibet.cn/live/vuXz3cg3TmRUYg.m3u8?secret=54bb3545e7af5954bc51688705796e59&time=66781e76
广西卫视,http://58.215.231.9/live2.rxip.sc96655.com/live/gxws_4000.m3u8$LR•IPV4『线路47』
广东-东莞中心广场,https://gcalic.v.myalicdn.com/gc/zsslstpt_1/index.m3u8?contentid=2820180516001
辽宁卫视,http://14.121.146.11:30001/udp/239.77.0.123:5146
广东卫视,http://113.65.233.218:2888/udp/239.77.0.166:5146$LR•IPV4『线路185』
哈哈炫动,http://[2409:8087:1a0b:df::4001]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8$LR•IPV6『线路1』
贵阳旅游生活广播,https://fanmingming.com/fm?id=1281
山东乡村广播,https://fanmingming.com/fm?id=522
年代音乐959,https://fanmingming.com/fm?id=2399
CCTV8,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010216/index.m3u8$LR•IPV6『线路10』
